Entity,Code,Year,Birth rate - Sex: all - Age: all - Variant: estimates
Russia,RUS,2023,8.919
Rwanda,RWA,2023,28.348
Saint Barthelemy,BLM,2023,4.817
Saint Helena,SHN,2023,7.344
Saint Kitts and Nevis,KNA,2023,11.745
Saint Lucia,LCA,2023,11.262
Saint Martin (French part),MAF,2023,17.069
Saint Pierre and Miquelon,SPM,2023,5.23
Saint Vincent and the Grenadines,VCT,2023,12.158
Samoa,WSM,2023,25.401
San Marino,SMR,2023,5.939
Sao Tome and Principe,STP,2023,28.185
Saudi Arabia,SAU,2023,16.415
Senegal,SEN,2023,29.423
Serbia,SRB,2023,8.835
Seychelles,SYC,2023,13.629
Sierra Leone,SLE,2023,30.601
Singapore,SGP,2023,8.2
Sint Maarten (Dutch part),SXM,2023,9.126
Slovakia,SVK,2023,9.473
Slovenia,SVN,2023,8.451
Solomon Islands,SLB,2023,26.935
Somalia,SOM,2023,42.964
South Africa,ZAF,2023,18.775
South Korea,KOR,2023,4.568
South Sudan,SSD,2023,28.59
Spain,ESP,2023,7.03
Sri Lanka,LKA,2023,14.109
Sudan,SDN,2023,33.612
Suriname,SUR,2023,17.298
Sweden,SWE,2023,9.28
Switzerland,CHE,2023,9.436
Syria,SYR,2023,22.107
Taiwan,TWN,2023,5.678
Tajikistan,TJK,2023,26.124
Tanzania,TZA,2023,35.222
Thailand,THA,2023,8.245
Togo,TGO,2023,31.142
Tokelau,TKL,2023,19.564
Tonga,TON,2023,23.117
Trinidad and Tobago,TTO,2023,10.708
Tunisia,TUN,2023,13.748
Turkey,TUR,2023,12.284
Turkmenistan,TKM,2023,21.74
Turks and Caicos Islands,TCA,2023,10.738
Tuvalu,TUV,2023,23.075
Uganda,UGA,2023,35.201
Ukraine,UKR,2023,5.625
United Arab Emirates,ARE,2023,9.774
United Kingdom,GBR,2023,10.023
United States,USA,2023,10.648
United States Virgin Islands,VIR,2023,11.189
Upper-middle-income countries,,2023,10.125
Uruguay,URY,2023,9.871
Uzbekistan,UZB,2023,26.465
Vanuatu,VUT,2023,28.05
Vatican,VAT,2023,4.211
Venezuela,VEN,2023,15.087
Vietnam,VNM,2023,13.831
Wallis and Futuna,WLF,2023,8.579
Western Sahara,ESH,2023,15.503
World,OWID_WRL,2023,16.327
Yemen,YEM,2023,35.209
Zambia,ZMB,2023,33.081
Zimbabwe,ZWE,2023,30.41
